"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
".","Missing",0,9965,NA,"WTIREP27"
"0 to 241459.37563","Range of Values",9965,9965,NA,"WTIREP28"
".","Missing",0,9965,NA,"WTIREP28"
"0 to 237716.20458","Range of Values",9965,9965,NA,"WTIREP29"
".","Missing",0,9965,NA,"WTIREP29"
"0 to 238268.46066","Range of Values",9965,9965,NA,"WTIREP30"
".","Missing",0,9965,NA,"WTIREP30"
"0 to 238064.69158","Range of Values",9965,9965,NA,"WTIREP31"
".","Missing",0,9965,NA,"WTIREP31"
"0 to 232851.32047","Range of Values",9965,9965,NA,"WTIREP32"
".","Missing",0,9965,NA,"WTIREP32"
"0 to 237122.57994","Range of Values",9965,9965,NA,"WTIREP33"
".","Missing",0,9965,NA,"WTIREP33"
"0 to 237636.68862","Range of Values",9965,9965,NA,"WTIREP34"
".","Missing",0,9965,NA,"WTIREP34"
"0 to 232641.61455","Range of Values",9965,9965,NA,"WTIREP35"
".","Missing",0,9965,NA,"WTIREP35"
"0 to 238207.79281","Range of Values",9965,9965,NA,"WTIREP36"
".","Missing",0,9965,NA,"WTIREP36"
"0 to 237794.97698","Range of Values",9965,9965,NA,"WTIREP37"
".","Missing",0,9965,NA,"WTIREP37"
"0 to 241173.68942","Range of Values",9965,9965,NA,"WTIREP38"
".","Missing",0,9965,NA,"WTIREP38"
"0 to 239060.10369","Range of Values",9965,9965,NA,"WTIREP39"
".","Missing",0,9965,NA,"WTIREP39"
"0 to 237986.39808","Range of Values",9965,9965,NA,"WTIREP40"
".","Missing",0,9965,NA,"WTIREP40"
"0 to 239760.23487","Range of Values",9965,9965,NA,"WTIREP41"
".","Missing",0,9965,NA,"WTIREP41"
"0 to 239610.85071","Range of Values",9965,9965,NA,"WTIREP42"
".","Missing",0,9965,NA,"WTIREP42"
"0 to 239320.707","Range of Values",9965,9965,NA,"WTIREP43"
".","Missing",0,9965,NA,"WTIREP43"
"0 to 237571.75151","Range of Values",9965,9965,NA,"WTIREP44"
".","Missing",0,9965,NA,"WTIREP44"
"0 to 235750.38147","Range of Values",9965,9965,NA,"WTIREP45"
".","Missing",0,9965,NA,"WTIREP45"
"0 to 241834.3272","Range of Values",9965,9965,NA,"WTIREP46"
".","Missing",0,9965,NA,"WTIREP46"
"0 to 232738.99202","Range of Values",9965,9965,NA,"WTIREP47"
".","Missing",0,9965,NA,"WTIREP47"
"0 to 237147.54679","Range of Values",9965,9965,NA,"WTIREP48"
".","Missing",0,9965,NA,"WTIREP48"
"0 to 237076.10369","Range of Values",9965,9965,NA,"WTIREP49"
".","Missing",0,9965,NA,"WTIREP49"
"0 to 238360.24085","Range of Values",9965,9965,NA,"WTIREP50"
".","Missing",0,9965,NA,"WTIREP50"
"0 to 236648.97986","Range of Values",9965,9965,NA,"WTIREP51"
".","Missing",0,9965,NA,"WTIREP51"
"0 to 236964.16066","Range of Values",9965,9965,NA,"WTIREP52"
".","Missing",0,9965,NA,"WTIREP52"
